//SoMachine Online Variables Export V1.0
//Important: Please do not remove or change Application CodeId and DataId Guids from this file. If you modify this file make sure it respects the syntax variable name and value separated by a semicolon
//ApplicationDataIdGuid;46d22f1b-0000-0000-0000-000000000000
//ApplicationCodeIdGuid;bb45e593-0000-0000-0000-000000000000

//Variable;//Online Value;

IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[6].wIecAddressBitOffset;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[6].wSize;16;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[6].wDummy;259;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[6].dwDriverSpecific;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[0].wParameterBitOffset;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[0].wIecAddressBitOffset;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[0].wSize;16;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[0].wDummy;263;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[0].dwDriverSpecific;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[1].wParameterBitOffset;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[1].wIecAddressBitOffset;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[1].wSize;16;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[1].wDummy;263;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[1].dwDriverSpecific;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[2].wParameterBitOffset;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[2].wIecAddressBitOffset;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[2].wSize;16;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[2].wDummy;263;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[2].dwDriverSpecific;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_14[3].wParameterBitOffset;0;
